date,date,source,title,sentiment_label,sentiment_score,open,high,low,close,volume,trading_day,candidate
2017-09-27,2017-09-27,www.moneycontrol.com,Sensex sinks 440 pts to end at 3,neutral,0.010664824396371841,9735.75,9735.75,9921.0498046875,9714.400390625,200100,True,2017-09-27
2017-09-28,2017-09-28,www.moneycontrol.com,Nifty rejig to be implemented from Friday . How does it impact your portfolio ? ,positive,0.7836715579032898,9768.9501953125,9768.9501953125,9789.2001953125,9687.5498046875,385000,True,2017-09-28
2017-09-28,2017-09-28,www.business-standard.com,Nifty 50 will continue to symbolise India growth story : NSE CEO Limaye,positive,0.9065449237823486,9768.9501953125,9768.9501953125,9789.2001953125,9687.5498046875,385000,True,2017-09-28
2017-09-29,2017-09-29,www.moneycontrol.com,"Bajaj Finance , HPCL & UPL gain 2",positive,0.692350447177887,9788.599609375,9788.599609375,9854.0,9775.349609375,196300,True,2017-09-29
2017-10-03,2017-10-03,www.business-standard.com,"Nifty extends gains , up 71 pts",positive,0.9160991907119751,9859.5,9859.5,9895.400390625,9831.0498046875,162800,True,2017-10-03
2017-10-05,2017-10-05,hindi.moneycontrol.com,moneycontrol . com,positive,0.6628352403640747,9888.7001953125,9888.7001953125,9945.9501953125,9881.849609375,147800,True,2017-10-05
2017-10-06,2017-10-06,in.reuters.com,Sensex rises ; Tata Steel among top gainers,negative,-0.39259153604507446,9979.7001953125,9979.7001953125,9989.349609375,9906.599609375,195800,True,2017-10-06
2017-10-06,2017-10-06,in.reuters.com,Sensex up ; Tata Steel gains,negative,-0.39259153604507446,9979.7001953125,9979.7001953125,9989.349609375,9906.599609375,195800,True,2017-10-06
2017-10-06,2017-10-06,www.business-standard.com,Sensex rises ; Tata Steel among top gainers,negative,-0.8839919567108154,9979.7001953125,9979.7001953125,9989.349609375,9906.599609375,195800,True,2017-10-06
2017-10-06,2017-10-06,www.business-standard.com,Sensex up ; Tata Steel gains,negative,-0.7859286069869995,9979.7001953125,9979.7001953125,9989.349609375,9906.599609375,195800,True,2017-10-06
2017-10-06,2017-10-06,in.reuters.com,Sensex up ; Tata Steel gains,negative,-0.39259153604507446,9979.7001953125,9979.7001953125,9989.349609375,9906.599609375,195800,True,2017-10-06
2017-10-09,2017-10-09,www.business-standard.com,Nifty fails to hold 10K ; realty counters shine,positive,0.9165239930152893,9988.75,9988.75,10015.75,9959.4501953125,143900,True,2017-10-09
2017-10-16,2017-10-16,economictimes.indiatimes.com,Mutual Fund Schemes : List of Top Performing Mutual Funds schemes,positive,0.810411810874939,10230.849609375,10230.849609375,10242.9501953125,10175.099609375,203000,True,2017-10-16
2017-10-17,2017-10-17,economictimes.indiatimes.com,"Tata Elxsi : Market Now : Nifty IT index volatile ; OFSS , Tata Elxsi down 1 % ",positive,0.8885008692741394,10234.4501953125,10234.4501953125,10251.849609375,10212.599609375,195700,True,2017-10-17
2017-10-17,2017-10-17,articles.economictimes.indiatimes.com,"Market Now : Nifty IT index volatile ; OFSS , Tata Elxsi down 1 % ",negative,-0.27413445711135864,10234.4501953125,10234.4501953125,10251.849609375,10212.599609375,195700,True,2017-10-17
2017-10-17,2017-10-17,www.business-standard.com,Nifty scales new closing peak,positive,0.9148309826850891,10234.4501953125,10234.4501953125,10251.849609375,10212.599609375,195700,True,2017-10-17
2017-10-18,2017-10-18,articles.economictimes.indiatimes.com,"Market Now : Nifty Pharma index in the red ; Cipla , Divi Lab top drags",negative,-0.27413445711135864,10210.849609375,10210.849609375,10236.4501953125,10175.75,254200,True,2017-10-18
2017-10-18,2017-10-18,economictimes.indiatimes.com,"Cipla : Market Now : Nifty Pharma index in the red ; Cipla , Divi Lab top drags",positive,0.8589199781417847,10210.849609375,10210.849609375,10236.4501953125,10175.75,254200,True,2017-10-18
2017-10-18,2017-10-18,www.business-standard.com,Sell,neutral,0.009352429769933224,10210.849609375,10210.849609375,10236.4501953125,10175.75,254200,True,2017-10-18
2017-10-23,2017-10-23,in.reuters.com,"Sensex , Nifty end higher ; Reliance boosts",negative,-0.39259153604507446,10184.849609375,10184.849609375,10224.150390625,10124.5,218100,True,2017-10-23
2017-10-23,2017-10-23,www.business-standard.com,"Sensex , Nifty end higher ; Reliance boosts",negative,-0.46445584297180176,10184.849609375,10184.849609375,10224.150390625,10124.5,218100,True,2017-10-23
2017-10-23,2017-10-23,in.reuters.com,"Sensex , Nifty end higher ; Reliance boosts",negative,-0.39259153604507446,10184.849609375,10184.849609375,10224.150390625,10124.5,218100,True,2017-10-23
2017-10-25,2017-10-25,economictimes.indiatimes.com,"Lupin : Market Now : Nifty Pharma index in the red ; Piramal , Lupin top drags",positive,0.8659763336181641,10295.349609375,10295.349609375,10340.5498046875,10240.900390625,594200,True,2017-10-25
2017-10-25,2017-10-25,articles.economictimes.indiatimes.com,"Market Now : Nifty Pharma index in the red ; Piramal , Lupin top drags",negative,-0.27413445711135864,10295.349609375,10295.349609375,10340.5498046875,10240.900390625,594200,True,2017-10-25
2017-10-25,2017-10-25,www.business-standard.com,Sensex climbs 33k,negative,-0.8843806385993958,10295.349609375,10295.349609375,10340.5498046875,10240.900390625,594200,True,2017-10-25
2017-10-26,2017-10-26,economictimes.indiatimes.com,Top gainers and losers of Thursday session,positive,0.8302187919616699,10343.7998046875,10343.7998046875,10355.650390625,10271.849609375,429700,True,2017-10-26
2017-10-26,2017-10-26,articles.economictimes.indiatimes.com,Top gainers and losers of Thursday session,negative,-0.27413445711135864,10343.7998046875,10343.7998046875,10355.650390625,10271.849609375,429700,True,2017-10-26
2017-10-27,2017-10-27,in.reuters.com,Nifty ends lower ; Yes Bank drags,negative,-0.39259153604507446,10323.0498046875,10323.0498046875,10366.150390625,10311.2998046875,312700,True,2017-10-27
2017-10-27,2017-10-27,www.business-standard.com,CORRECTED : Nifty ends lower ; Yes Bank drags,neutral,-0.00028700195252895355,10323.0498046875,10323.0498046875,10366.150390625,10311.2998046875,312700,True,2017-10-27
2017-10-27,2017-10-27,in.reuters.com,Nifty ends lower ; Yes Bank drags,negative,-0.39259153604507446,10323.0498046875,10323.0498046875,10366.150390625,10311.2998046875,312700,True,2017-10-27
2017-10-31,2017-10-31,economictimes.indiatimes.com,"Birla Corporation : Market Now : Birla Corp , Britannia among stocks that hit fresh 52",positive,0.7854276895523071,10335.2998046875,10335.2998046875,10367.7001953125,10323.9501953125,232600,True,2017-10-31
2017-10-31,2017-10-31,www.moneycontrol.com,"Market Live : Nifty opens flat , Midcap outperforms Sensex ; Axis Bank , Tata Steel gain",neutral,0.00037542544305324554,10335.2998046875,10335.2998046875,10367.7001953125,10323.9501953125,232600,True,2017-10-31
