candidate,sentiment_score,sentiment_score_median,sentiment_count,sentiment_label,open,high,low,close,volume,title_sample,return_pct,log_return,next_day_return,next_day_dir,high_low_spread,open_close_gap,ret_mean_3d,ret_std_3d,ret_mean_7d,ret_std_7d,ret_mean_14d,ret_std_14d,sentiment_lag_1,return_lag_1,sentiment_lag_2,return_lag_2,sentiment_lag_3,return_lag_3,sentiment_label_enc
2017-09-27,0.0106648243963718,0.0106648243963718,1,neutral,9735.75,9735.75,9921.0498046875,9714.400390625,200100,Sensex sinks 440 pts to end at 3,0.0,0.0,-0.0027639982765598203,0,-0.019074754718399894,-0.002192908545823383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017-09-28,0.8451082408428192,0.8451082408428192,2,positive,9768.9501953125,9768.9501953125,9789.2001953125,9687.5498046875,385000,Nifty rejig to be implemented from Friday . How does it impact your portfolio ? ; Nifty 50 will continue to symbolise India growth story : NSE CEO Limaye,-0.0027639982765598203,-0.002767825173113189,0.009063159050291203,1,-0.0020903118340823046,-0.00833256276237941,-0.0027639982765598203,0.0,-0.0027639982765598203,0.0,-0.0027639982765598203,0.0,0.0106648243963718,0.0,0.0,0.0,0.0,0.0,2
2017-09-29,0.692350447177887,0.692350447177887,1,positive,9788.599609375,9788.599609375,9854.0,9775.349609375,196300,"Bajaj Finance , HPCL & UPL gain 2",0.009063159050291203,0.009022335101532906,0.005698025905803039,1,-0.006690337761656942,-0.0013536154842118432,0.0031495803868656913,0.008363063147976519,0.0031495803868656913,0.008363063147976519,0.0031495803868656913,0.008363063147976519,0.8451082408428192,-0.0027639982765598203,0.0106648243963718,0.0,0.0,0.0,2
2017-10-03,0.9160991907119752,0.9160991907119752,1,positive,9859.5,9859.5,9895.400390625,9831.0498046875,162800,"Nifty extends gains , up 71 pts",0.005698025905803039,0.005681853560736327,0.005167281795610323,1,-0.003651735200027416,-0.002885561672752168,0.003999062226511474,0.00609387157693575,0.003999062226511474,0.00609387157693575,0.003999062226511474,0.00609387157693575,0.692350447177887,0.009063159050291203,0.8451082408428192,-0.0027639982765598203,0.0106648243963718,0.0,2
2017-10-05,0.6628352403640747,0.6628352403640747,1,positive,9888.7001953125,9888.7001953125,9945.9501953125,9881.849609375,147800,moneycontrol . com,0.005167281795610323,0.005153977207721044,0.0025045918505499642,1,-0.005793449836120397,-0.0006927691003057566,0.006642822250568188,0.0021128050065484364,0.004291117118786186,0.005009793552419432,0.004291117118786186,0.005009793552419432,0.9160991907119752,0.005698025905803039,0.692350447177887,0.009063159050291203,0.8451082408428192,-0.0027639982765598203,2
2017-10-06,-0.5695390343666077,-0.3925915360450744,5,negative,9979.7001953125,9979.7001953125,9989.349609375,9906.599609375,195800,Sensex rises ; Tata Steel among top gainers; Sensex up ; Tata Steel gains; Sensex rises ; Tata Steel among top gainers,0.0025045918505499642,0.0025014605876482877,0.005334886643393322,1,-0.000974038968261964,-0.00732492805463591,0.004456633183987775,0.0017112192592456722,0.003933812065138942,0.00441155959783009,0.003933812065138942,0.00441155959783009,0.6628352403640747,0.005167281795610323,0.9160991907119752,0.005698025905803039,0.692350447177887,0.009063159050291203,0
2017-10-09,0.9165239930152892,0.9165239930152892,1,positive,9988.75,9988.75,10015.75,9959.4501953125,143900,Nifty fails to hold 10K ; realty counters shine,0.005334886643393322,0.005320706546094647,0.021652742855624352,1,-0.0027109930237622735,-0.0029332804092103617,0.004335586763184536,0.0015879010119715729,0.0041673244948480055,0.003987060922175282,0.0041673244948480055,0.003987060922175282,-0.5695390343666077,0.0025045918505499642,0.6628352403640747,0.005167281795610323,0.9160991907119752,0.005698025905803039,2
2017-10-16,0.810411810874939,0.810411810874939,1,positive,10230.849609375,10230.849609375,10242.9501953125,10175.099609375,203000,Mutual Fund Schemes : List of Top Performing Mutual Funds schemes,0.021652742855624352,0.02142165210089013,0.0036854676061792713,1,-0.0011892351330252257,-0.005449205308317082,0.00983074044985588,0.010335494560740463,0.006665241403530341,0.007544821701651767,0.006665241403530341,0.007544821701651767,0.9165239930152892,0.005334886643393322,-0.5695390343666077,0.0025045918505499642,0.6628352403640747,0.005167281795610323,2
2017-10-17,0.50973246494929,0.8885008692741394,3,positive,10234.4501953125,10234.4501953125,10251.849609375,10212.599609375,195700,"Tata Elxsi : Market Now : Nifty IT index volatile ; OFSS , Tata Elxsi down 1 % ; Market Now : Nifty IT index volatile ; OFSS , Tata Elxsi down 1 % ; Nifty scales new closing peak",0.0036854676061792713,0.003678692910619745,-0.0036082496900370353,0,-0.0017037203775743467,-0.0021350033973987024,0.010224365701732316,0.009931565791393728,0.007586593672493068,0.006526513463971743,0.006292769678861457,0.0070641466723190115,0.810411810874939,0.021652742855624352,0.9165239930152892,0.005334886643393322,-0.5695390343666077,0.0025045918505499642,2
2017-10-18,0.19804598360011974,0.0093524297699332,3,negative,10210.849609375,10210.849609375,10236.4501953125,10175.75,254200,"Market Now : Nifty Pharma index in the red ; Cipla , Divi Lab top drags; Cipla : Market Now : Nifty Pharma index in the red ; Cipla , Divi Lab top drags; Sell",-0.0036082496900370353,-0.003614775124610354,-0.005036483797263069,0,-0.002515842659017763,-0.003437481768683931,0.0072433202572555295,0.013000891227645427,0.005776392423874748,0.007700419259642118,0.0051926564156505135,0.007386246672638612,0.50973246494929,0.0036854676061792713,0.810411810874939,0.021652742855624352,0.9165239930152892,0.005334886643393322,0
2017-10-23,-0.41654630502065015,-0.3925915360450744,3,negative,10184.849609375,10184.849609375,10224.150390625,10124.5,218100,"Sensex , Nifty end higher ; Reliance boosts; Sensex , Nifty end higher ; Reliance boosts; Sensex , Nifty end higher ; Reliance boosts",-0.005036483797263069,-0.0050492096287277416,0.01149690262482106,1,-0.003881750333349795,-0.005925429602755165,-0.0016530886270402778,0.004678151361135769,0.004242891037722447,0.008719991456406166,0.004169742394359155,0.007678432260548018,0.19804598360011974,-0.0036082496900370353,0.50973246494929,0.0036854676061792713,0.810411810874939,0.021652742855624352,0
2017-10-25,-0.0975129206975301,-0.2741344571113586,3,negative,10295.349609375,10295.349609375,10340.5498046875,10240.900390625,594200,"Lupin : Market Now : Nifty Pharma index in the red ; Piramal , Lupin top drags; Market Now : Nifty Pharma index in the red ; Piramal , Lupin top drags; Sensex climbs 33k",0.01149690262482106,0.011431315460639595,0.003022118912350047,1,-0.004413693482838518,-0.005288719743952964,0.0009507230458403182,0.009161134806908137,0.005147122584752552,0.009149428479389304,0.004835847869855692,0.007612039892906055,-0.41654630502065015,-0.005036483797263069,0.19804598360011974,-0.0036082496900370353,0.50973246494929,0.0036854676061792713,0
