candidate,sentiment_score,sentiment_score_median,sentiment_count,sentiment_label,open,high,low,close,volume,title_sample,return_pct,log_return,next_day_return,next_day_dir,high_low_spread,open_close_gap,ret_mean_3d,ret_std_3d,ret_mean_7d,ret_std_7d,ret_mean_14d,ret_std_14d,sentiment_lag_1,return_lag_1,sentiment_lag_2,return_lag_2,sentiment_lag_3,return_lag_3,sentiment_label_enc,sentiment_label_encoded,price_momentum,volatility_ratio,sentiment_change,volume_ma_ratio
2017-09-28,0.8451082408428192,0.8451082408428192,2,positive,9768.9501953125,9768.9501953125,9789.2001953125,9687.5498046875,385000,Nifty rejig to be implemented from Friday . How does it impact your portfolio ? ; Nifty 50 will continue to symbolise India growth story : NSE CEO Limaye,-0.0027639982765598,-0.0027678251731131,0.0090631590502912,1,-0.0020903118340823,-0.0083325627623794,-0.0027639982765598,0.0,-0.0027639982765598,0.0,-0.0027639982765598,0.0,0.0106648243963718,0.0,0.0,0.0,0.0,0.0,2,2,-81.400390625,-2.1577301549158114e-07,0.8344434164464474,1.0
2017-09-29,0.692350447177887,0.692350447177887,1,positive,9788.599609375,9788.599609375,9854.0,9775.349609375,196300,"Bajaj Finance , HPCL & UPL gain 2",0.0090631590502912,0.0090223351015329,0.005698025905803,1,-0.0066903377616569,-0.0013536154842118,0.0031495803868656,0.0083630631479765,0.0031495803868656,0.0083630631479765,0.0031495803868656,0.0083630631479765,0.8451082408428192,-0.0027639982765598,0.0106648243963718,0.0,0.0,0.0,2,2,-13.25,-6.844090522594266e-07,-0.15275779366493225,0.6753827627730948
2017-10-03,0.9160991907119752,0.9160991907119752,1,positive,9859.5,9859.5,9895.400390625,9831.0498046875,162800,"Nifty extends gains , up 71 pts",0.005698025905803,0.0056818535607363,0.0051672817956103,1,-0.0036517352000274,-0.0028855616727521,0.0039990622265114,0.0060938715769357,0.0039990622265114,0.0060938715769357,0.0039990622265114,0.0060938715769357,0.692350447177887,0.0090631590502912,0.8451082408428192,-0.0027639982765598,0.0106648243963718,0.0,2,2,-28.4501953125,-3.7144916082982635e-07,0.22374874353408825,0.656363392017202
2017-10-05,0.6628352403640747,0.6628352403640747,1,positive,9888.7001953125,9888.7001953125,9945.9501953125,9881.849609375,147800,moneycontrol . com,0.0051672817956103,0.005153977207721,0.0025045918505499,1,-0.0057934498361203,-0.0006927691003057,0.0066428222505681,0.0021128050065484,0.0042911171187861,0.0050097935524194,0.0042911171187861,0.0050097935524194,0.9160991907119752,0.005698025905803,0.692350447177887,0.0090631590502912,0.8451082408428192,-0.0027639982765598,2,2,-6.8505859375,-5.862718079238933e-07,-0.2532639503479005,0.6628545801098777
2017-10-06,-0.5695390343666077,-0.3925915360450744,5,negative,9979.7001953125,9979.7001953125,9989.349609375,9906.599609375,195800,Sensex rises ; Tata Steel among top gainers; Sensex up ; Tata Steel gains; Sensex rises ; Tata Steel among top gainers,0.0025045918505499,0.0025014605876482,0.0053348866433933,1,-0.0009740389682619,-0.0073249280546359,0.0044566331839877,0.0017112192592456,0.0039338120651389,0.00441155959783,0.0039338120651389,0.00441155959783,0.6628352403640747,0.0051672817956103,0.9160991907119752,0.005698025905803,0.692350447177887,0.0090631590502912,0,0,-73.1005859375,-9.832223029788436e-08,-1.2323742747306823,0.9000643559805094
2017-10-09,0.9165239930152892,0.9165239930152892,1,positive,9988.75,9988.75,10015.75,9959.4501953125,143900,Nifty fails to hold 10K ; realty counters shine,0.0053348866433933,0.0053207065460946,0.0216527428556243,1,-0.0027109930237622,-0.0029332804092103,0.0043355867631845,0.0015879010119715,0.004167324494848,0.0039870609221752,0.004167324494848,0.0039870609221752,-0.5695390343666077,0.0025045918505499,0.6628352403640747,0.0051672817956103,0.9160991907119752,0.005698025905803,2,2,-29.2998046875,-2.722030805513895e-07,1.4860630273818969,0.8498700685093314
2017-10-16,0.810411810874939,0.810411810874939,1,positive,10230.849609375,10230.849609375,10242.9501953125,10175.099609375,203000,Mutual Fund Schemes : List of Top Performing Mutual Funds schemes,0.0216527428556243,0.0214216521008901,0.0036854676061792,1,-0.0011892351330252,-0.005449205308317,0.0098307404498558,0.0103354945607404,0.0066652414035303,0.0075448217016517,0.0066652414035303,0.0075448217016517,0.9165239930152892,0.0053348866433933,-0.5695390343666077,0.0025045918505499,0.6628352403640747,0.0051672817956103,2,2,-55.75,-1.1687700157052793e-07,-0.10611218214035023,1.1894995898277276
2017-10-17,0.50973246494929,0.8885008692741394,3,positive,10234.4501953125,10234.4501953125,10251.849609375,10212.599609375,195700,"Tata Elxsi : Market Now : Nifty IT index volatile ; OFSS , Tata Elxsi down 1 % ; Market Now : Nifty IT index volatile ; OFSS , Tata Elxsi down 1 % ; Nifty scales new closing peak",0.0036854676061792,0.0036786929106197,-0.003608249690037,0,-0.0017037203775743,-0.0021350033973987,0.0102243657017323,0.0099315657913937,0.007586593672493,0.0065265134639717,0.0062927696788614,0.007064146672319,0.810411810874939,0.0216527428556243,0.9165239930152892,0.0053348866433933,-0.5695390343666077,0.0025045918505499,2,2,-21.8505859375,-1.6682533759673812e-07,-0.30067934592564893,1.104152561498533
2017-10-18,0.1980459836001197,0.0093524297699332,3,negative,10210.849609375,10210.849609375,10236.4501953125,10175.75,254200,"Market Now : Nifty Pharma index in the red ; Cipla , Divi Lab top drags; Cipla : Market Now : Nifty Pharma index in the red ; Cipla , Divi Lab top drags; Sell",-0.003608249690037,-0.0036147751246103,-0.005036483797263,0,-0.0025158426590177,-0.0034374817686839,0.0072433202572555,0.0130008912276454,0.0057763924238747,0.0077004192596421,0.0051926564156505,0.0073862466726386,0.50973246494929,0.0036854676061792,0.810411810874939,0.0216527428556243,0.9165239930152892,0.0053348866433933,0,0,-35.099609375,-2.4723903977767735e-07,-0.3116864813491703,1.2804755188394117
2017-10-23,-0.4165463050206501,-0.3925915360450744,3,negative,10184.849609375,10184.849609375,10224.150390625,10124.5,218100,"Sensex , Nifty end higher ; Reliance boosts; Sensex , Nifty end higher ; Reliance boosts; Sensex , Nifty end higher ; Reliance boosts",-0.005036483797263,-0.0050492096287277,0.011496902624821,1,-0.0038817503333497,-0.0059254296027551,-0.0016530886270402,0.0046781513611357,0.0042428910377224,0.0087199914564061,0.0041697423943591,0.007678432260548,0.1980459836001197,-0.003608249690037,0.50973246494929,0.0036854676061792,0.810411810874939,0.0216527428556243,0,0,-60.349609375,-3.8340168238922415e-07,-0.6145922886207698,1.0744900975465563
